service,metricName,namespace
adservice,istio_requests_total,boutique
cartservice,istio_requests_total,boutique
checkoutservice,istio_requests_total,boutique
currencyservice,istio_requests_total,boutique
emailservice,istio_requests_total,boutique
frontend,istio_requests_total,boutique
frontend-external,istio_requests_total,boutique
paymentservice,istio_requests_total,boutique
productcatalogservice,istio_requests_total,boutique
recommendationservice,istio_requests_total,boutique
redis-cart,istio_requests_total,boutique
shippingservice,istio_requests_total,boutique
adservice,istio_request_duration_milliseconds_bucket,boutique
cartservice,istio_request_duration_milliseconds_bucket,boutique
checkoutservice,istio_request_duration_milliseconds_bucket,boutique
currencyservice,istio_request_duration_milliseconds_bucket,boutique
emailservice,istio_request_duration_milliseconds_bucket,boutique
frontend,istio_request_duration_milliseconds_bucket,boutique
frontend-external,istio_request_duration_milliseconds_bucket,boutique
paymentservice,istio_request_duration_milliseconds_bucket,boutique
productcatalogservice,istio_request_duration_milliseconds_bucket,boutique
recommendationservice,istio_request_duration_milliseconds_bucket,boutique
redis-cart,istio_request_duration_milliseconds_bucket,boutique
shippingservice,istio_request_duration_milliseconds_bucket,boutique
adservice,istio_request_duration_milliseconds_count,boutique
cartservice,istio_request_duration_milliseconds_count,boutique
checkoutservice,istio_request_duration_milliseconds_count,boutique
currencyservice,istio_request_duration_milliseconds_count,boutique
emailservice,istio_request_duration_milliseconds_count,boutique
frontend,istio_request_duration_milliseconds_count,boutique
frontend-external,istio_request_duration_milliseconds_count,boutique
paymentservice,istio_request_duration_milliseconds_count,boutique
productcatalogservice,istio_request_duration_milliseconds_count,boutique
recommendationservice,istio_request_duration_milliseconds_count,boutique
redis-cart,istio_request_duration_milliseconds_count,boutique
shippingservice,istio_request_duration_milliseconds_count,boutique
adservice,istio_response_bytes_bucket,boutique
cartservice,istio_response_bytes_bucket,boutique
checkoutservice,istio_response_bytes_bucket,boutique
currencyservice,istio_response_bytes_bucket,boutique
emailservice,istio_response_bytes_bucket,boutique
frontend,istio_response_bytes_bucket,boutique
frontend-external,istio_response_bytes_bucket,boutique
paymentservice,istio_response_bytes_bucket,boutique
productcatalogservice,istio_response_bytes_bucket,boutique
recommendationservice,istio_response_bytes_bucket,boutique
redis-cart,istio_response_bytes_bucket,boutique
shippingservice,istio_response_bytes_bucket,boutique
adservice,istio_tcp_connections_opened_total,boutique
cartservice,istio_tcp_connections_opened_total,boutique
checkoutservice,istio_tcp_connections_opened_total,boutique
currencyservice,istio_tcp_connections_opened_total,boutique
emailservice,istio_tcp_connections_opened_total,boutique
frontend,istio_tcp_connections_opened_total,boutique
frontend-external,istio_tcp_connections_opened_total,boutique
paymentservice,istio_tcp_connections_opened_total,boutique
productcatalogservice,istio_tcp_connections_opened_total,boutique
recommendationservice,istio_tcp_connections_opened_total,boutique
redis-cart,istio_tcp_connections_opened_total,boutique
shippingservice,istio_tcp_connections_opened_total,boutique
adservice,istio_tcp_connections_closed_total,boutique
cartservice,istio_tcp_connections_closed_total,boutique
checkoutservice,istio_tcp_connections_closed_total,boutique
currencyservice,istio_tcp_connections_closed_total,boutique
emailservice,istio_tcp_connections_closed_total,boutique
frontend,istio_tcp_connections_closed_total,boutique
frontend-external,istio_tcp_connections_closed_total,boutique
paymentservice,istio_tcp_connections_closed_total,boutique
productcatalogservice,istio_tcp_connections_closed_total,boutique
recommendationservice,istio_tcp_connections_closed_total,boutique
redis-cart,istio_tcp_connections_closed_total,boutique
shippingservice,istio_tcp_connections_closed_total,boutique
adservice,istio_request_messages_total,boutique
cartservice,istio_request_messages_total,boutique
checkoutservice,istio_request_messages_total,boutique
currencyservice,istio_request_messages_total,boutique
emailservice,istio_request_messages_total,boutique
frontend,istio_request_messages_total,boutique
frontend-external,istio_request_messages_total,boutique
paymentservice,istio_request_messages_total,boutique
productcatalogservice,istio_request_messages_total,boutique
recommendationservice,istio_request_messages_total,boutique
redis-cart,istio_request_messages_total,boutique
shippingservice,istio_request_messages_total,boutique
adservice,istio_request_bytes_bucket,boutique
cartservice,istio_request_bytes_bucket,boutique
checkoutservice,istio_request_bytes_bucket,boutique
currencyservice,istio_request_bytes_bucket,boutique
emailservice,istio_request_bytes_bucket,boutique
frontend,istio_request_bytes_bucket,boutique
frontend-external,istio_request_bytes_bucket,boutique
paymentservice,istio_request_bytes_bucket,boutique
productcatalogservice,istio_request_bytes_bucket,boutique
recommendationservice,istio_request_bytes_bucket,boutique
redis-cart,istio_request_bytes_bucket,boutique
shippingservice,istio_request_bytes_bucket,boutique
adservice,istio_request_messages_total,boutique
cartservice,istio_request_messages_total,boutique
checkoutservice,istio_request_messages_total,boutique
currencyservice,istio_request_messages_total,boutique
emailservice,istio_request_messages_total,boutique
frontend,istio_request_messages_total,boutique
frontend-external,istio_request_messages_total,boutique
paymentservice,istio_request_messages_total,boutique
productcatalogservice,istio_request_messages_total,boutique
recommendationservice,istio_request_messages_total,boutique
redis-cart,istio_request_messages_total,boutique
shippingservice,istio_request_messages_total,boutique
